CustomerId,Segment
12346,Loyal
12347,Normal
12348,Normal
12349,BigSpenders
12351,Normal
12352,Normal
12353,Normal
12355,Normal
12356,BigSpenders
12357,BigSpenders
12358,BigSpenders
12359,AlmostLost
12360,Normal
12361,Normal
12362,Normal
12366,Normal
12368,Normal
12369,BigSpenders
12370,Normal
12371,BigSpenders
12373,Normal
12374,BigSpenders
12376,Normal
12377,BigSpenders
12378,Normal
12379,Normal
12380,AlmostLost
12385,BigSpenders
12386,Normal
12387,Normal
12388,Normal
12389,Normal
12391,BigSpenders
12392,Normal
12393,Normal
12395,BigSpenders
12396,Normal
12399,Normal
12400,Normal
12402,Normal
12403,Normal
12404,Normal
12406,BigSpenders
12408,Normal
12409,BigSpenders
12410,Normal
12411,Normal
12412,Normal
12413,Normal
12414,Normal
12415,Best
12416,Normal
12417,Loyal
12418,Normal
12419,Normal
12421,Normal
12422,Loyal
12423,Normal
12424,Normal
12425,Normal
12426,Normal
12427,Normal
12429,BigSpenders
12431,Best
12433,BigSpenders
12434,Normal
12435,BigSpenders
12437,Loyal
12439,Normal
12440,Normal
12441,Normal
12443,Normal
12445,Normal
12449,Normal
12450,Normal
12451,BigSpenders
12454,BigSpenders
12455,BigSpenders
12457,Normal
12458,Normal
12459,Normal
12460,Normal
12466,Normal
12467,Normal
12468,BigSpenders
12469,BigSpenders
12470,Normal
12471,Best
12472,Best
12474,Best
12475,Normal
12476,Loyal
12477,BigSpenders
12480,BigSpenders
12481,Best
12482,LostBigSpenders
12483,Best
12484,AlmostLost
12485,Normal
12486,Normal
12487,Normal
12490,Best
12492,Normal
12494,Normal
12495,Normal
12496,Normal
12497,BigSpenders
12499,Normal
12500,Loyal
12503,Normal
12504,Normal
12505,Normal
12507,Normal
12510,AlmostLost
12511,BigSpenders
12514,Normal
12516,Normal
12519,Normal
12523,Best
12524,Loyal
12525,Normal
12527,Normal
12529,Normal
12530,BigSpenders
12531,BigSpenders
12533,Normal
12537,Normal
12538,Normal
12539,BigSpenders
12540,Best
12542,Normal
12543,Normal
12547,Normal
12549,Loyal
12553,Normal
12554,Normal
12555,Normal
12557,BigSpenders
12562,Normal
12563,Normal
12567,Best
12568,Normal
12570,Normal
12573,Normal
12575,Normal
12576,Normal
12577,Normal
12578,BigSpenders
12580,Normal
12582,Normal
12583,Best
12586,BigSpenders
12588,Normal
12589,AlmostLost
12591,Normal
12592,BigSpenders
12594,BigSpenders
12595,Normal
12598,Normal
12599,Loyal
12600,Best
12601,Normal
12605,Normal
12606,Normal
12608,Normal
12609,Best
12613,BigSpenders
12615,BigSpenders
12616,Normal
12619,Normal
12621,Best
12623,Loyal
12625,BigSpenders
12629,Normal
12631,BigSpenders
